Radius(nm),EnergyDeposition(eV/nm^2),BinLower(nm),BinUpper(nm),Events
16026.751,1.420908e-09,15387.760,16692.278,1000000
17385.441,1.380205e-09,16692.278,18107.388,1000000
18859.314,1.318954e-09,18107.388,19642.466,1000000
20458.138,1.265176e-09,19642.466,21307.682,1000000
22192.504,1.201359e-09,21307.682,23114.069,1000000
24073.903,1.008360e-09,23114.069,25073.595,1000000
26114.800,9.623827e-10,25073.595,27199.242,1000000
28328.717,8.506962e-10,27199.242,29505.094,1000000
30730.321,7.127819e-10,29505.094,32006.427,1000000
33335.525,5.573906e-10,32006.427,34719.815,1000000
36161.589,4.174877e-10,34719.815,37663.233,1000000
39227.235,3.004912e-10,37663.233,40856.184,1000000
42552.776,1.770845e-10,40856.184,44319.821,1000000
46160.244,1.085288e-10,44319.821,48077.093,1000000
50073.541,5.334580e-11,48077.093,52152.892,1000000
54318.592,2.335450e-11,52152.892,56574.223,1000000
58923.522,9.122451e-12,56574.223,61370.378,1000000
63918.842,1.354949e-12,61370.378,66573.134,1000000
69337.647,1.965914e-13,66573.134,72216.960,1000000
75215.838,3.787428e-13,72216.960,78339.248,1000000
81592.361,0.000000e+00,78339.248,84980.562,1000000
88509.462,0.000000e+00,84980.562,92184.902,1000000
96012.969,4.430680e-14,92184.902,100000.000,1000000
