Radius(nm),EnergyDeposition(eV/nm^2),BinLower(nm),BinUpper(nm),Events
16026.751,1.764436e-09,15387.760,16692.278,1000000
17385.441,1.661780e-09,16692.278,18107.388,1000000
18859.314,1.727890e-09,18107.388,19642.466,1000000
20458.138,1.515335e-09,19642.466,21307.682,1000000
22192.504,1.486519e-09,21307.682,23114.069,1000000
24073.903,1.338248e-09,23114.069,25073.595,1000000
26114.800,1.248270e-09,25073.595,27199.242,1000000
28328.717,1.147575e-09,27199.242,29505.094,1000000
30730.321,8.709237e-10,29505.094,32006.427,1000000
33335.525,6.750612e-10,32006.427,34719.815,1000000
36161.589,5.089042e-10,34719.815,37663.233,1000000
39227.235,3.796660e-10,37663.233,40856.184,1000000
42552.776,2.325425e-10,40856.184,44319.821,1000000
46160.244,1.542707e-10,44319.821,48077.093,1000000
50073.541,6.874025e-11,48077.093,52152.892,1000000
54318.592,3.542036e-11,52152.892,56574.223,1000000
58923.522,7.635654e-12,56574.223,61370.378,1000000
63918.842,3.319301e-12,61370.378,66573.134,1000000
69337.647,5.845945e-14,66573.134,72216.960,1000000
75215.838,0.000000e+00,72216.960,78339.248,1000000
81592.361,2.535812e-13,78339.248,84980.562,1000000
88509.462,1.993927e-13,84980.562,92184.902,1000000
96012.969,8.510894e-13,92184.902,100000.000,1000000
